study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJEB35665	ERP118751	SAMEA6359332	ERS4125582	ERX3715170	ERR3711723	ERA2306886	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	unspecified	500	PAIRED	AMPLICON	GENOMIC	PCR	45113	24896961	Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)	2020-06-28	2019-12-05	Illumina MiSeq paired end sequencing	Fecal microbiota in early stage melanoma patients	ena-STUDY-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-10:22:10:972-837	ena-EXPERIMENT-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-11	ena-RUN-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-11	3860522;4903726	50a70cc483f5f5502ca6190a6e5953e4;75db9af4fbad3ad27e373d3bb0adf16a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/003/ERR3711723/ERR3711723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/003/ERR3711723/ERR3711723_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/003/ERR3711723/ERR3711723_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/003/ERR3711723/ERR3711723_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/003/ERR3711723/ERR3711723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/003/ERR3711723/ERR3711723_2.fastq.gz	3722453;4778258	1749f44c228a5694e06f27efeebaa26d;55ace773e77447bbab17bb1e04c7bc55	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711723/C3F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711723/C3F-V3-V4_trimmed_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711723/C3F-V3-V4_trimmed_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711723/C3F-V3-V4_trimmed_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711723/C3F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711723/C3F-V3-V4_trimmed_R2.fastq.gz	FASTQ;FASTQ									C3F-V3-V4		C3F-V3-V4	0	2019-12-04
PRJEB35665	ERP118751	SAMEA6359333	ERS4125583	ERX3715171	ERR3711724	ERA2306886	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	unspecified	500	PAIRED	AMPLICON	GENOMIC	PCR	86286	47695054	Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)	2020-06-28	2019-12-05	Illumina MiSeq paired end sequencing	Fecal microbiota in early stage melanoma patients	ena-STUDY-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-10:22:10:972-837	ena-EXPERIMENT-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-12	ena-RUN-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-12	7170439;9013086	8e2deac15f33531822b46fe5a422eb9b;9ac72e06b2a933be00518610ba17ee3e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/004/ERR3711724/ERR3711724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/004/ERR3711724/ERR3711724_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/004/ERR3711724/ERR3711724_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/004/ERR3711724/ERR3711724_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/004/ERR3711724/ERR3711724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/004/ERR3711724/ERR3711724_2.fastq.gz	6896366;8764949	91bd1badeac3b59a36386b5bf0e79f1e;37bb215a319d4a9c925673e21402adbd	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711724/C4F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711724/C4F-V3-V4_trimmed_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711724/C4F-V3-V4_trimmed_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711724/C4F-V3-V4_trimmed_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711724/C4F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711724/C4F-V3-V4_trimmed_R2.fastq.gz	FASTQ;FASTQ									C4F-V3-V4		C4F-V3-V4	0	2019-12-04
PRJEB35665	ERP118751	SAMEA6359334	ERS4125584	ERX3715172	ERR3711725	ERA2306886	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	unspecified	500	PAIRED	AMPLICON	GENOMIC	PCR	111397	61609882	Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)	2020-06-28	2019-12-05	Illumina MiSeq paired end sequencing	Fecal microbiota in early stage melanoma patients	ena-STUDY-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-10:22:10:972-837	ena-EXPERIMENT-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-13	ena-RUN-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-13	9736317;11892574	40be5a78e1b7d83e2580c4915656119e;728a31d09252c103f51bac30d1d66fee	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/005/ERR3711725/ERR3711725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/005/ERR3711725/ERR3711725_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/005/ERR3711725/ERR3711725_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/005/ERR3711725/ERR3711725_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/005/ERR3711725/ERR3711725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/005/ERR3711725/ERR3711725_2.fastq.gz	9385110;11567503	29447d4fdd392dfdb58481bd32746c75;5018a61cdf489ab86f9b6bc65f620769	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711725/C5F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711725/C5F-V3-V4_trimmed_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711725/C5F-V3-V4_trimmed_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711725/C5F-V3-V4_trimmed_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711725/C5F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711725/C5F-V3-V4_trimmed_R2.fastq.gz	FASTQ;FASTQ									C5F-V3-V4		C5F-V3-V4	0	2019-12-04
PRJEB35665	ERP118751	SAMEA6359335	ERS4125585	ERX3715173	ERR3711726	ERA2306886	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	unspecified	500	PAIRED	AMPLICON	GENOMIC	PCR	88509	48976079	Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)	2020-06-28	2019-12-05	Illumina MiSeq paired end sequencing	Fecal microbiota in early stage melanoma patients	ena-STUDY-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-10:22:10:972-837	ena-EXPERIMENT-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-14	ena-RUN-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-14	7284691;9052409	307d0f0f267373defadfcb2f36a443c2;8c1bb997d2ba5df8eda417e709237ef0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/006/ERR3711726/ERR3711726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/006/ERR3711726/ERR3711726_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/006/ERR3711726/ERR3711726_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/006/ERR3711726/ERR3711726_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/006/ERR3711726/ERR3711726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/006/ERR3711726/ERR3711726_2.fastq.gz	7004545;8792023	2edc1ef3ad17567214385b7b9a9d06c2;39ba41f3fc35790cb6b887d8eabd83e8	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711726/C6F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711726/C6F-V3-V4_trimmed_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711726/C6F-V3-V4_trimmed_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711726/C6F-V3-V4_trimmed_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711726/C6F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711726/C6F-V3-V4_trimmed_R2.fastq.gz	FASTQ;FASTQ									C6F-V3-V4		C6F-V3-V4	0	2019-12-04
PRJEB35665	ERP118751	SAMEA6359336	ERS4125586	ERX3715174	ERR3711727	ERA2306886	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	unspecified	500	PAIRED	AMPLICON	GENOMIC	PCR	84877	46884483	Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)	2020-06-28	2019-12-05	Illumina MiSeq paired end sequencing	Fecal microbiota in early stage melanoma patients	ena-STUDY-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-10:22:10:972-837	ena-EXPERIMENT-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-15	ena-RUN-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-15	7347589;9203879	3c8b2f1a665262fb33505c6ba6336ddf;c985c5c2ea1b7ddfde66534f7928f12b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/007/ERR3711727/ERR3711727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/007/ERR3711727/ERR3711727_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/007/ERR3711727/ERR3711727_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/007/ERR3711727/ERR3711727_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/007/ERR3711727/ERR3711727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/007/ERR3711727/ERR3711727_2.fastq.gz	7091544;8957771	1eb7f80417961dadce67ee8242e073fb;0456e5d42dfe77c7ee91040767855bd1	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711727/C7F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711727/C7F-V3-V4_trimmed_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711727/C7F-V3-V4_trimmed_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711727/C7F-V3-V4_trimmed_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711727/C7F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711727/C7F-V3-V4_trimmed_R2.fastq.gz	FASTQ;FASTQ									C7F-V3-V4		C7F-V3-V4	0	2019-12-04
PRJEB35665	ERP118751	SAMEA6359337	ERS4125587	ERX3715175	ERR3711728	ERA2306886	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	unspecified	500	PAIRED	AMPLICON	GENOMIC	PCR	83878	46372501	Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)	2020-06-28	2019-12-05	Illumina MiSeq paired end sequencing	Fecal microbiota in early stage melanoma patients	ena-STUDY-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-10:22:10:972-837	ena-EXPERIMENT-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-16	ena-RUN-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-16	7631096;9118319	c3c9ce579c0b5b38f8f19ca7d4464ca9;c506f148a9ac5926c05031eeed6fa3cb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/008/ERR3711728/ERR3711728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/008/ERR3711728/ERR3711728_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/008/ERR3711728/ERR3711728_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/008/ERR3711728/ERR3711728_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/008/ERR3711728/ERR3711728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/008/ERR3711728/ERR3711728_2.fastq.gz	7370947;8880864	dabb4447eb1b52203154bb51c9a7ab48;b401975339baa665f9106cbae6c0982d	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711728/C8F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711728/C8F-V3-V4_trimmed_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711728/C8F-V3-V4_trimmed_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711728/C8F-V3-V4_trimmed_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711728/C8F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711728/C8F-V3-V4_trimmed_R2.fastq.gz	FASTQ;FASTQ									C8F-V3-V4		C8F-V3-V4	0	2019-12-04
PRJEB35665	ERP118751	SAMEA6359338	ERS4125588	ERX3715176	ERR3711729	ERA2306886	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	unspecified	500	PAIRED	AMPLICON	GENOMIC	PCR	76243	42195397	Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)	2020-06-28	2019-12-05	Illumina MiSeq paired end sequencing	Fecal microbiota in early stage melanoma patients	ena-STUDY-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-10:22:10:972-837	ena-EXPERIMENT-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-17	ena-RUN-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-17	7209910;8369134	c324fadb2ce0b1a6a82df383166d02e4;cf92bb70c71f76fb57f9815c73f4fb52	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/009/ERR3711729/ERR3711729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/009/ERR3711729/ERR3711729_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/009/ERR3711729/ERR3711729_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/009/ERR3711729/ERR3711729_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/009/ERR3711729/ERR3711729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/009/ERR3711729/ERR3711729_2.fastq.gz	6978802;8141960	b8dbb737dd1a6e6946c19b31b3970960;cacda2c9d1220fea535d1f59886579c0	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711729/C9F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711729/C9F-V3-V4_trimmed_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711729/C9F-V3-V4_trimmed_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711729/C9F-V3-V4_trimmed_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711729/C9F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711729/C9F-V3-V4_trimmed_R2.fastq.gz	FASTQ;FASTQ									C9F-V3-V4		C9F-V3-V4	0	2019-12-04
PRJEB35665	ERP118751	SAMEA6359339	ERS4125589	ERX3715177	ERR3711730	ERA2306886	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	unspecified	500	PAIRED	AMPLICON	GENOMIC	PCR	35977	18339065	Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)	2020-06-28	2019-12-05	Illumina MiSeq paired end sequencing	Fecal microbiota in early stage melanoma patients	ena-STUDY-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-10:22:10:972-837	ena-EXPERIMENT-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-18	ena-RUN-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-18	4810495;4268607	c79bc0821fef54d3c4285c269521abc7;9391c056d03d685076878438cecf642b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/000/ERR3711730/ERR3711730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/000/ERR3711730/ERR3711730_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/000/ERR3711730/ERR3711730_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/000/ERR3711730/ERR3711730_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/000/ERR3711730/ERR3711730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/000/ERR3711730/ERR3711730_2.fastq.gz	4699437;4163577	f08cdf7044aa0bbfc9102cd6ce4db540;f319f6de2f2b3689170be9c460ec445b	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711730/M10F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711730/M10F-V3-V4_trimmed_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711730/M10F-V3-V4_trimmed_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711730/M10F-V3-V4_trimmed_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711730/M10F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711730/M10F-V3-V4_trimmed_R2.fastq.gz	FASTQ;FASTQ									M10F-V3-V4		M10F-V3-V4	0	2019-12-04
PRJEB35665	ERP118751	SAMEA6359340	ERS4125590	ERX3715178	ERR3711731	ERA2306886	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	unspecified	500	PAIRED	AMPLICON	GENOMIC	PCR	147259	81384647	Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)	2020-06-28	2019-12-05	Illumina MiSeq paired end sequencing	Fecal microbiota in early stage melanoma patients	ena-STUDY-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-10:22:10:972-837	ena-EXPERIMENT-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-19	ena-RUN-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-19	13790464;16326527	a07f1d036805b0c32872996657ead1d2;47ad111032b1f17a94cdc0e31afeafd3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/001/ERR3711731/ERR3711731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/001/ERR3711731/ERR3711731_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/001/ERR3711731/ERR3711731_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/001/ERR3711731/ERR3711731_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/001/ERR3711731/ERR3711731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/001/ERR3711731/ERR3711731_2.fastq.gz	13333723;15901688	430739f12e7c93f3893d85bb658abc9b;40b2668a39a5e09a730ceeb13ae9e432	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711731/M11F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711731/M11F-V3-V4_trimmed_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711731/M11F-V3-V4_trimmed_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711731/M11F-V3-V4_trimmed_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711731/M11F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711731/M11F-V3-V4_trimmed_R2.fastq.gz	FASTQ;FASTQ									M11F-V3-V4		M11F-V3-V4	0	2019-12-04
PRJEB35665	ERP118751	SAMEA6359341	ERS4125591	ERX3715179	ERR3711732	ERA2306886	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	unspecified	500	PAIRED	AMPLICON	GENOMIC	PCR	135527	74993667	Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)	2020-06-28	2019-12-05	Illumina MiSeq paired end sequencing	Fecal microbiota in early stage melanoma patients	ena-STUDY-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-10:22:10:972-837	ena-EXPERIMENT-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-20	ena-RUN-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-20	12014185;14435159	5f08911c5e0716921285b95d3bb88622;0bfcd542ae20ab1eac2449f4b5996dc6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/002/ERR3711732/ERR3711732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/002/ERR3711732/ERR3711732_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/002/ERR3711732/ERR3711732_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/002/ERR3711732/ERR3711732_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/002/ERR3711732/ERR3711732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/002/ERR3711732/ERR3711732_2.fastq.gz	11585588;14034428	6931dcb3b5e74641377d9ea0870612fe;f25ead89a6802d1bc11505c08c97c656	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711732/M12F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711732/M12F-V3-V4_trimmed_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711732/M12F-V3-V4_trimmed_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711732/M12F-V3-V4_trimmed_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711732/M12F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711732/M12F-V3-V4_trimmed_R2.fastq.gz	FASTQ;FASTQ									M12F-V3-V4		M12F-V3-V4	0	2019-12-04
PRJEB35665	ERP118751	SAMEA6359342	ERS4125592	ERX3715180	ERR3711733	ERA2306886	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	unspecified	500	PAIRED	AMPLICON	GENOMIC	PCR	128093	70783356	Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)	2020-06-28	2019-12-05	Illumina MiSeq paired end sequencing	Fecal microbiota in early stage melanoma patients	ena-STUDY-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-10:22:10:972-837	ena-EXPERIMENT-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-21	ena-RUN-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-21	11465707;13934951	b3059de49a91f6a0fb49ce2e2532c39f;518120629d05beb7393f1c1e0e0379f3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/003/ERR3711733/ERR3711733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/003/ERR3711733/ERR3711733_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/003/ERR3711733/ERR3711733_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/003/ERR3711733/ERR3711733_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/003/ERR3711733/ERR3711733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/003/ERR3711733/ERR3711733_2.fastq.gz	11062433;13563675	68b3a91e9b8db57379805ead9a8141a4;8ce2ce8450696cbacbfe849c904262c5	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711733/M13F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711733/M13F-V3-V4_trimmed_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711733/M13F-V3-V4_trimmed_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711733/M13F-V3-V4_trimmed_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711733/M13F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711733/M13F-V3-V4_trimmed_R2.fastq.gz	FASTQ;FASTQ									M13F-V3-V4		M13F-V3-V4	0	2019-12-04
